"","room","userID","message","time","batch","round","X_id","createdAt","updatedAt"
"22","C","JqmKck6Txg3VkNbTAAA5","thats a good one",57.975,1534287515706,2,"40lqirtMgLpQiAiG","2018-08-14T23:27:55.774Z","2018-08-14T23:27:55.774Z"
"23","A","_rd538HxdAqf-w0BAAAl","I like yours a lot wIjG-SwuIKJiLA4UAAAq ",355.38,1534287515706,0,"47YZOSBvv0XcOZhr","2018-08-14T23:13:22.034Z","2018-08-14T23:13:22.034Z"
"24","C","cPy2UpUwZL7L13pxAAA9","Should we use KOSMOS in there somewhere? ",416.839,1534287515706,0,"4Cnf27AHld6IoOhd","2018-08-14T23:14:23.493Z","2018-08-14T23:14:23.493Z"
"25","C","JqmKck6Txg3VkNbTAAA5","I like that as well",269.79,1534287515706,1,"4odCKK9Ir8LuhvpB","2018-08-14T23:22:01.153Z","2018-08-14T23:22:01.153Z"
"26","B","ja7JLhlLHNar2f70AABC","Waterproof and simply designed to keep you organized on the go is good",161.752,1534287515706,1,"4qjbESA3hNZ7PhDb","2018-08-14T23:20:13.116Z","2018-08-14T23:20:13.116Z"
"27","C","JqmKck6Txg3VkNbTAAA5","both sound good to me",257.74,1534287515706,2,"62r9BforjDngWeXl","2018-08-14T23:31:15.539Z","2018-08-14T23:31:15.539Z"
"28","B","ja7JLhlLHNar2f70AABC","I do love this pen",306.197,1534287515706,0,"62rVY39xA8IW967b","2018-08-14T23:12:32.851Z","2018-08-14T23:12:32.851Z"
"29","A","wIjG-SwuIKJiLA4UAAAq","I like both as well",222.344,1534287515706,2,"66wTT39N7LBBbw6Z","2018-08-14T23:30:40.143Z","2018-08-14T23:30:40.143Z"
"30","A","wIjG-SwuIKJiLA4UAAAq","I think you should, lol",287.848,1534287515706,2,"6ilG7mRw95Axyf5R","2018-08-14T23:31:45.647Z","2018-08-14T23:31:45.647Z"
"31","B","ja7JLhlLHNar2f70AABC","This is a good one",120.852,1534287515706,2,"6infIkTbATw69ITv","2018-08-14T23:28:58.650Z","2018-08-14T23:28:58.650Z"
"32","B","ja7JLhlLHNar2f70AABC","I agree",95.463,1534287515706,0,"6lACY98oWfwrKSeA","2018-08-14T23:09:02.117Z","2018-08-14T23:09:02.117Z"
"33","A","wIjG-SwuIKJiLA4UAAAq","Hello everyone",13.992,1534287515706,2,"6qgPfRBbTaKRRlUU","2018-08-14T23:27:11.791Z","2018-08-14T23:27:11.791Z"
"34","A","NDyPHAPp-WiyntvlAAAU","!protect what's important",478.358,1534287515706,1,"6uxcLslTSjZjFAHF","2018-08-14T23:25:29.722Z","2018-08-14T23:25:29.722Z"
"35","C","JqmKck6Txg3VkNbTAAA5","Hello",99.419,1534287515706,0,"6yBEKapj5GiXTnxH","2018-08-14T23:09:06.073Z","2018-08-14T23:09:06.073Z"
"36","B","wIjG-SwuIKJiLA4UAAAq","and organization?",87.786,1534287515706,1,"7BbfTpMRLinQX4Jq","2018-08-14T23:18:59.150Z","2018-08-14T23:18:59.150Z"
"37","B","ja7JLhlLHNar2f70AABC","so would we go with modern and elegant ? Or the success ?",468.963,1534287515706,0,"7BsVWhFPGComFih7","2018-08-14T23:15:15.618Z","2018-08-14T23:15:15.618Z"
"38","B","ja7JLhlLHNar2f70AABC","hello all",54.772,1534287515706,0,"7RhVGKYa0shakRIS","2018-08-14T23:08:21.427Z","2018-08-14T23:08:21.427Z"
"39","A","_rd538HxdAqf-w0BAAAl","So the watch seems to be both stylish and rugged",72.628,1534287515706,2,"7rpIyyXmMBsGwdne","2018-08-14T23:28:10.427Z","2018-08-14T23:28:10.427Z"
"40","A","Ew-wme2ssUwbICXwAABE","I think it is good",369.591,1534287515706,1,"8ENL80QDBzzU8ucE","2018-08-14T23:23:40.955Z","2018-08-14T23:23:40.955Z"
"41","C","dzTfvhlQxdUaSiKFAAAe","Thanks",312.857,1534287515706,2,"8HOb0HtQngcdDIyX","2018-08-14T23:32:10.655Z","2018-08-14T23:32:10.655Z"
"42","B","oSdk9RorppWj6MDiAAAz","has left the chatroom",598.932,1534287515706,1,"8LIEu6kdAlR2QrvO","2018-08-14T23:17:25.587Z","2018-08-14T23:17:25.587Z"
"43","C","dzTfvhlQxdUaSiKFAAAe","WE need to limit it to 30 characters",304.496,1534287515706,0,"8Sh7grvpaqH7ZcDd","2018-08-14T23:12:31.151Z","2018-08-14T23:12:31.151Z"
"44","B","ja7JLhlLHNar2f70AABC","That is a clever one",164.215,1534287515706,0,"8UOte2H2Jlr9KYR3","2018-08-14T23:10:10.869Z","2018-08-14T23:10:10.869Z"
"45","B","dzTfvhlQxdUaSiKFAAAe","Thanks",235.628,1534287515706,1,"8bukn1eC7t3OgVmM","2018-08-14T23:21:26.991Z","2018-08-14T23:21:26.991Z"
"46","A","NDyPHAPp-WiyntvlAAAU","I have like one. ",273.206,1534287515706,0,"96fPRe5an5YMAVYb","2018-08-14T23:11:59.861Z","2018-08-14T23:11:59.861Z"
"47","B","wIjG-SwuIKJiLA4UAAAq","Waterproof and simply designed to keep you organized on the go.",142.63,1534287515706,1,"98ERPN4F9F0qFDrW","2018-08-14T23:19:53.994Z","2018-08-14T23:19:53.994Z"
"48","B","wIjG-SwuIKJiLA4UAAAq","sure",331.44,1534287515706,1,"9Jbz3KcnMnu1NShf","2018-08-14T23:23:02.803Z","2018-08-14T23:23:02.803Z"
"49","B","ja7JLhlLHNar2f70AABC","Time wont miss wit LIV Swiss !",464.623,1534287515706,2,"9QviJyu4k38UpMC5","2018-08-14T23:34:42.422Z","2018-08-14T23:34:42.422Z"
"50","A","Ew-wme2ssUwbICXwAABE","yes, I love that!!",308.034,1534287515706,1,"9iwTeUbVLtwhUiEr","2018-08-14T23:22:39.398Z","2018-08-14T23:22:39.398Z"
"51","C","_rd538HxdAqf-w0BAAAl","My initial thought is that these are simple. They look simple yet they hold items that could be complex like electronics. ",105.965,1534287515706,1,"9kmUnq4n1eWoDJpb","2018-08-14T23:19:17.329Z","2018-08-14T23:19:17.329Z"
"52","B","dzTfvhlQxdUaSiKFAAAe","Hello",26.754,1534287515706,1,"9lCNVxBeBd8jHOer","2018-08-14T23:17:58.117Z","2018-08-14T23:17:58.117Z"
"53","B","oSdk9RorppWj6MDiAAAz","oooo, yes",358.102,1534287515706,0,"A6xMRZBiZY4oqR4m","2018-08-14T23:13:24.757Z","2018-08-14T23:13:24.757Z"
"54","C","dzTfvhlQxdUaSiKFAAAe","The future of writing is here. ",138.803,1534287515706,0,"A9ui52NcsAPnuyI5","2018-08-14T23:09:45.458Z","2018-08-14T23:09:45.458Z"
"55","B","wIjG-SwuIKJiLA4UAAAq","Hi!",47.301,1534287515706,1,"AGG27PLWPGvMqwd1","2018-08-14T23:18:18.664Z","2018-08-14T23:18:18.664Z"
"56","A","NDyPHAPp-WiyntvlAAAU","Stylish and Rugged",101.856,1534287515706,2,"Afi9e14BMVDIHSuz","2018-08-14T23:28:39.656Z","2018-08-14T23:28:39.656Z"
"57","A","NDyPHAPp-WiyntvlAAAU","lets go with it",442.051,1534287515706,0,"Ag87sGdeXnf6mpQM","2018-08-14T23:14:48.705Z","2018-08-14T23:14:48.705Z"
"58","C","cPy2UpUwZL7L13pxAAA9","Make your mark",256.244,1534287515706,0,"B8P5h6zvYu14RmXU","2018-08-14T23:11:42.898Z","2018-08-14T23:11:42.898Z"
"59","A","_rd538HxdAqf-w0BAAAl","I like that a lot, too",172.147,1534287515706,2,"BFSkGkMWx3mxbcWN","2018-08-14T23:29:49.946Z","2018-08-14T23:29:49.946Z"
"60","A","NDyPHAPp-WiyntvlAAAU","Maybe talk about how it will turn heads",63.841,1534287515706,2,"BOlo0A4UlZbe3E9k","2018-08-14T23:28:01.640Z","2018-08-14T23:28:01.640Z"
"61","B","ja7JLhlLHNar2f70AABC","has left the chatroom",541.314,1534287515706,3,"BnESuLLEp4Wdt612","2018-08-14T23:35:59.112Z","2018-08-14T23:35:59.112Z"
"62","C","cPy2UpUwZL7L13pxAAA9","Time for greatness",48.24,1534287515706,2,"BvMOCkURUniVHvXW","2018-08-14T23:27:46.038Z","2018-08-14T23:27:46.038Z"
"63","C","dzTfvhlQxdUaSiKFAAAe","Lets try to add something more",95.33,1534287515706,2,"C33Ri3QWe6sPsNXM","2018-08-14T23:28:33.128Z","2018-08-14T23:28:33.128Z"
"64","C","cPy2UpUwZL7L13pxAAA9","ok",108.515,1534287515706,2,"CHtyqCEV3qn9SzC8","2018-08-14T23:28:46.314Z","2018-08-14T23:28:46.314Z"
"65","A","_rd538HxdAqf-w0BAAAl","looks",202.158,1534287515706,0,"CLEgn5c5ep9D2B5e","2018-08-14T23:10:48.813Z","2018-08-14T23:10:48.813Z"
"66","C","dzTfvhlQxdUaSiKFAAAe","Yes",85.355,1534287515706,2,"CNko1ByLJ8iNfpEl","2018-08-14T23:28:23.153Z","2018-08-14T23:28:23.153Z"
"67","C","JqmKck6Txg3VkNbTAAA5","thats a good one",135.984,1534287515706,0,"D5s6dUHH6vgkyjaG","2018-08-14T23:09:42.638Z","2018-08-14T23:09:42.638Z"
"68","C","JqmKck6Txg3VkNbTAAA5","no problem!",427.245,1534287515706,1,"DkTRNoCUYqR6RFlW","2018-08-14T23:24:38.609Z","2018-08-14T23:24:38.609Z"
"69","B","wIjG-SwuIKJiLA4UAAAq","Sure, it sums up that it's not your average ouch",240.569,1534287515706,1,"Dkr06KzX78eJzi5Z","2018-08-14T23:21:31.933Z","2018-08-14T23:21:31.933Z"
"70","A","wIjG-SwuIKJiLA4UAAAq","Yes!  Not everyone uses Fountain pens",260.449,1534287515706,0,"DqwqqgfBETDALpDU","2018-08-14T23:11:47.103Z","2018-08-14T23:11:47.103Z"
"71","A","wIjG-SwuIKJiLA4UAAAq","Yes",241.433,1534287515706,2,"DsLEniVfg3n4J1lM","2018-08-14T23:30:59.232Z","2018-08-14T23:30:59.232Z"
"72","A","wIjG-SwuIKJiLA4UAAAq","I love that last one",155.964,1534287515706,2,"EEXfC6GPvIY0Ct0O","2018-08-14T23:29:33.763Z","2018-08-14T23:29:33.763Z"
"73","B","dzTfvhlQxdUaSiKFAAAe","has 29 characters",213.565,1534287515706,1,"F1sUVvmQUKVXHKS8","2018-08-14T23:21:04.929Z","2018-08-14T23:21:04.929Z"
"74","A","NDyPHAPp-WiyntvlAAAU","We might be able to work in the magnetic thinksomehow.",162.404,1534287515706,0,"FQVtf6rZAyypx7Xc","2018-08-14T23:10:09.058Z","2018-08-14T23:10:09.058Z"
"75","C","dzTfvhlQxdUaSiKFAAAe","I think we dont have a lot of time",436.491,1534287515706,0,"FZxmLNWLBIODArXf","2018-08-14T23:14:43.146Z","2018-08-14T23:14:43.146Z"
"76","C","cPy2UpUwZL7L13pxAAA9","Thanks!",95.816,1534287515706,2,"FaoPY0Ejt9D7wCpK","2018-08-14T23:28:33.615Z","2018-08-14T23:28:33.615Z"
"77","B","Ew-wme2ssUwbICXwAABE","how about: success is in your hand? lol",121.711,1534287515706,0,"G6xS5zcoZF3VdCMn","2018-08-14T23:09:28.366Z","2018-08-14T23:09:28.366Z"
"78","C","dzTfvhlQxdUaSiKFAAAe","and bold too",318.867,1534287515706,2,"GCnhl2s15h9ytUUj","2018-08-14T23:32:16.665Z","2018-08-14T23:32:16.665Z"
"79","A","cPy2UpUwZL7L13pxAAA9","ok",83.303,1534287515706,1,"GHKwWXM9FpxyHLFT","2018-08-14T23:18:54.667Z","2018-08-14T23:18:54.667Z"
"80","B","ja7JLhlLHNar2f70AABC","wow very good",356.618,1534287515706,0,"H06XuR4ZVdRqPyDv","2018-08-14T23:13:23.273Z","2018-08-14T23:13:23.273Z"
"81","C","JqmKck6Txg3VkNbTAAA5","time for greatness, wear pilot",202.509,1534287515706,2,"HYFK748VotuaYvfa","2018-08-14T23:30:20.308Z","2018-08-14T23:30:20.308Z"
"82","C","JqmKck6Txg3VkNbTAAA5","sounds good",391.166,1534287515706,1,"HhZ4CeXA56WGxRAK","2018-08-14T23:24:02.529Z","2018-08-14T23:24:02.529Z"
"83","C","JqmKck6Txg3VkNbTAAA5","whichever one you guys prefer",263.726,1534287515706,2,"HmDNQgT1BTEVyjGa","2018-08-14T23:31:21.528Z","2018-08-14T23:31:21.528Z"
"84","C","_rd538HxdAqf-w0BAAAl","Yes, that sounds great",386.532,1534287515706,1,"HuuGglCDmZp7DaQp","2018-08-14T23:23:57.895Z","2018-08-14T23:23:57.895Z"
"85","C","_rd538HxdAqf-w0BAAAl","Hi",55.173,1534287515706,1,"IElzKD8C5QGv2YM3","2018-08-14T23:18:26.537Z","2018-08-14T23:18:26.537Z"
"86","B","dzTfvhlQxdUaSiKFAAAe","The irresistible power pouch? ",132.851,1534287515706,1,"IOc1N4AaBxDHbGsJ","2018-08-14T23:19:44.215Z","2018-08-14T23:19:44.215Z"
"87","C","JqmKck6Txg3VkNbTAAA5","I like that one",373.914,1534287515706,0,"ItncHffNzjhdZEAg","2018-08-14T23:13:40.569Z","2018-08-14T23:13:40.569Z"
"88","A","NDyPHAPp-WiyntvlAAAU","talk about how craftsman spent a lot of time perfecting the design",128.452,1534287515706,0,"JBijRObd8sBNB4Ju","2018-08-14T23:09:35.107Z","2018-08-14T23:09:35.107Z"
"89","A","cPy2UpUwZL7L13pxAAA9","but we can change it",161.306,1534287515706,1,"JbU2hFa3vKTarhwt","2018-08-14T23:20:12.670Z","2018-08-14T23:20:12.670Z"
"90","A","cPy2UpUwZL7L13pxAAA9","is it within the 30 character limit?",373.405,1534287515706,1,"JgxmNMy4J5D7y6u0","2018-08-14T23:23:44.769Z","2018-08-14T23:23:44.769Z"
"91","C","JqmKck6Txg3VkNbTAAA5","you too! ",368.274,1534287515706,2,"JqTffG8HijVJ5X0v","2018-08-14T23:33:06.072Z","2018-08-14T23:33:06.072Z"
"92","C","cPy2UpUwZL7L13pxAAA9","Hm, I don't know if future fits",312.755,1534287515706,0,"K3QSe8WmRbfvrbMk","2018-08-14T23:12:39.410Z","2018-08-14T23:12:39.410Z"
"93","B","oSdk9RorppWj6MDiAAAz","y'all wanna go with modern and elegant touch?",468.723,1534287515706,0,"KcDCjruO1GRzlqqN","2018-08-14T23:15:15.377Z","2018-08-14T23:15:15.377Z"
"94","A","wIjG-SwuIKJiLA4UAAAq","has left the chatroom",569.51,1534287515706,3,"Kemnuh5DtfHGd7ey","2018-08-14T23:36:27.309Z","2018-08-14T23:36:27.309Z"
"95","A","_rd538HxdAqf-w0BAAAl","yes",445.675,1534287515706,0,"KsmsPoFrNnOnd1p6","2018-08-14T23:14:52.330Z","2018-08-14T23:14:52.330Z"
"96","A","NDyPHAPp-WiyntvlAAAU","what makes it might exactly?",122.872,1534287515706,1,"LOU3xLyXszdQQmjj","2018-08-14T23:19:34.235Z","2018-08-14T23:19:34.235Z"
"97","C","dzTfvhlQxdUaSiKFAAAe","Cool",394.759,1534287515706,0,"LrhyPJtpqbEniDA9","2018-08-14T23:14:01.414Z","2018-08-14T23:14:01.414Z"
"98","C","dzTfvhlQxdUaSiKFAAAe","The Future is here. A smart Pen. ",180.76,1534287515706,0,"MMzJ9BLGANi6EctU","2018-08-14T23:10:27.414Z","2018-08-14T23:10:27.414Z"
"99","B","ja7JLhlLHNar2f70AABC","but we work fast as a team so our job is done we just have to wait it out",363.91,1534287515706,1,"MfBMDXAxTVYKvdFr","2018-08-14T23:23:35.273Z","2018-08-14T23:23:35.273Z"
"100","B","ja7JLhlLHNar2f70AABC","hello all",14.69,1534287515706,1,"Mg78SwFPlIEWb5VI","2018-08-14T23:17:46.053Z","2018-08-14T23:17:46.053Z"
"101","B","ja7JLhlLHNar2f70AABC","I think so",334.031,1534287515706,1,"Mqvm9jj1YIDT0xey","2018-08-14T23:23:05.395Z","2018-08-14T23:23:05.395Z"
"102","A","cPy2UpUwZL7L13pxAAA9","little, but tough?",179.032,1534287515706,1,"NCzdwbG14Gerintq","2018-08-14T23:20:30.395Z","2018-08-14T23:20:30.395Z"
"103","A","_rd538HxdAqf-w0BAAAl","LOL Yes. The last one seemed much shorter",254.12,1534287515706,2,"O6hwEcKSAoBS1ix3","2018-08-14T23:31:11.919Z","2018-08-14T23:31:11.919Z"
"104","B","Ew-wme2ssUwbICXwAABE","Hi everyone!",58.912,1534287515706,0,"OCOjKPyYJEgiLfGW","2018-08-14T23:08:25.567Z","2018-08-14T23:08:25.567Z"
"105","B","Ew-wme2ssUwbICXwAABE","yes and quite expensive..",114.838,1534287515706,2,"Or6fNsAHOFfSQTE6","2018-08-14T23:28:52.636Z","2018-08-14T23:28:52.636Z"
"106","A","NDyPHAPp-WiyntvlAAAU","I say we talk about durability for this",70.442,1534287515706,1,"P7fs0HW724KyLAuO","2018-08-14T23:18:41.806Z","2018-08-14T23:18:41.806Z"
"107","A","_rd538HxdAqf-w0BAAAl","turns heads is a good one",79.19,1534287515706,2,"PLOFWRaUZkArploQ","2018-08-14T23:28:16.989Z","2018-08-14T23:28:16.989Z"
"108","C","dzTfvhlQxdUaSiKFAAAe","it covers time",316.5,1534287515706,2,"Pd7cEQNDF4iltcht","2018-08-14T23:32:14.298Z","2018-08-14T23:32:14.298Z"
"109","A","NDyPHAPp-WiyntvlAAAU","Stay Organized, while protecting what's important to you. ",299.627,1534287515706,1,"Q4VtIJ0k0973JFxZ","2018-08-14T23:22:30.991Z","2018-08-14T23:22:30.991Z"
"110","A","Ew-wme2ssUwbICXwAABE","Functional pouches for your item",202.926,1534287515706,1,"QD9fhdUsgcayNKxQ","2018-08-14T23:20:54.289Z","2018-08-14T23:20:54.289Z"
"111","A","NDyPHAPp-WiyntvlAAAU","the twist part is good because of the magnetic thing",355.587,1534287515706,0,"QYlXXO1fNhU7eUNo","2018-08-14T23:13:22.242Z","2018-08-14T23:13:22.242Z"
"112","A","_rd538HxdAqf-w0BAAAl","Hi",47.13,1534287515706,2,"Qhycww9iHaYLJSxV","2018-08-14T23:27:44.928Z","2018-08-14T23:27:44.928Z"
"113","B","oSdk9RorppWj6MDiAAAz","I did last time",217.794,1534287515706,0,"QjFoC4v2mx6meN0V","2018-08-14T23:11:04.449Z","2018-08-14T23:11:04.449Z"
"114","A","cPy2UpUwZL7L13pxAAA9","yep",353.181,1534287515706,1,"QsrBptrsd2C4XgmV","2018-08-14T23:23:24.545Z","2018-08-14T23:23:24.545Z"
"115","C","_rd538HxdAqf-w0BAAAl","Maybe something about them being designed to help keep things simple. You have your electronics that you worry about, but you don't have to worry about their safety if you keep them in these bags.",183.983,1534287515706,1,"QttUid8QSMjmN4Ii","2018-08-14T23:20:35.346Z","2018-08-14T23:20:35.346Z"
"116","A","cPy2UpUwZL7L13pxAAA9","protect what's important",419.635,1534287515706,1,"QvGWNA28nvT6LUek","2018-08-14T23:24:30.999Z","2018-08-14T23:24:30.999Z"
"117","A","NDyPHAPp-WiyntvlAAAU","I basically have this same thing but plastic",35.611,1534287515706,1,"QzyjfHD1GwRRSHKu","2018-08-14T23:18:06.975Z","2018-08-14T23:18:06.975Z"
"118","A","NDyPHAPp-WiyntvlAAAU","okay, gotcha",164.888,1534287515706,1,"R3xLyVgCq970KmOx","2018-08-14T23:20:16.252Z","2018-08-14T23:20:16.252Z"
"119","C","JqmKck6Txg3VkNbTAAA5","have any ideas?",104.166,1534287515706,1,"RDagkWKMw4DcRqcV","2018-08-14T23:19:15.530Z","2018-08-14T23:19:15.530Z"
"120","A","NDyPHAPp-WiyntvlAAAU","its too long dang",401.054,1534287515706,1,"RSjBPY1HUG6a8SuX","2018-08-14T23:24:12.419Z","2018-08-14T23:24:12.419Z"
"121","A","NDyPHAPp-WiyntvlAAAU","hey",20.964,1534287515706,2,"RuyD23iA891liAFw","2018-08-14T23:27:18.763Z","2018-08-14T23:27:18.763Z"
"122","C","cPy2UpUwZL7L13pxAAA9","ok",449.454,1534287515706,0,"RvpvAul6xRSbouau","2018-08-14T23:14:56.109Z","2018-08-14T23:14:56.109Z"
"123","A","_rd538HxdAqf-w0BAAAl","Something like being able to write as sleek as the pen is/loos",200.278,1534287515706,0,"SDjWoIIGDQyWBUd8","2018-08-14T23:10:46.933Z","2018-08-14T23:10:46.933Z"
"124","B","wIjG-SwuIKJiLA4UAAAq","pouch",247.832,1534287515706,1,"SL7dnRTuTrrHdrwE","2018-08-14T23:21:39.196Z","2018-08-14T23:21:39.196Z"
"125","B","ja7JLhlLHNar2f70AABC","thats good",220.677,1534287515706,1,"T6fc2t2ZTPw4x8Qg","2018-08-14T23:21:12.041Z","2018-08-14T23:21:12.041Z"
"126","A","Ew-wme2ssUwbICXwAABE","want to use that one?",335.182,1534287515706,1,"TMdVA2uBE8wo9qyv","2018-08-14T23:23:06.546Z","2018-08-14T23:23:06.546Z"
"127","C","cPy2UpUwZL7L13pxAAA9","You too!!",372.727,1534287515706,2,"TOyM2WuvlusZ7qXI","2018-08-14T23:33:10.525Z","2018-08-14T23:33:10.525Z"
"128","C","JqmKck6Txg3VkNbTAAA5","hi",21.537,1534287515706,2,"TRLkyWixTL0M85sX","2018-08-14T23:27:19.336Z","2018-08-14T23:27:19.336Z"
"129","A","Ew-wme2ssUwbICXwAABE","yes, any idea?",89.288,1534287515706,1,"TUzAZTNA2vqKYjfQ","2018-08-14T23:19:00.651Z","2018-08-14T23:19:00.651Z"
"130","B","ja7JLhlLHNar2f70AABC","it is very elegant and sophisticated as well",142.258,1534287515706,0,"TsHVh00Hice7btzI","2018-08-14T23:09:48.913Z","2018-08-14T23:09:48.913Z"
"131","B","ja7JLhlLHNar2f70AABC","I have very bad handwriting and I could use it so modern and elegant touch would fit me",402.015,1534287515706,0,"UA9G0NDxlRmftfXC","2018-08-14T23:14:08.670Z","2018-08-14T23:14:08.670Z"
"132","C","dzTfvhlQxdUaSiKFAAAe","Make your mark with the future",275.544,1534287515706,0,"UKtinRtrYLfFw5XA","2018-08-14T23:12:02.198Z","2018-08-14T23:12:02.198Z"
"133","C","dzTfvhlQxdUaSiKFAAAe","lets do it then",399.443,1534287515706,0,"UVVBVHkOaDWvL8Mt","2018-08-14T23:14:06.098Z","2018-08-14T23:14:06.098Z"
"134","B","ja7JLhlLHNar2f70AABC","Time wont miss with LIV Swiss ?",175.794,1534287515706,2,"Ul4QmTG0E6MaG7tm","2018-08-14T23:29:53.592Z","2018-08-14T23:29:53.592Z"
"135","B","dzTfvhlQxdUaSiKFAAAe","Haha",374.662,1534287515706,1,"UzXPawiFA5JAMucM","2018-08-14T23:23:46.025Z","2018-08-14T23:23:46.025Z"
"136","A","NDyPHAPp-WiyntvlAAAU","yeah, definitely. ",389.33,1534287515706,0,"VGphT4YL87ROkhHz","2018-08-14T23:13:55.985Z","2018-08-14T23:13:55.985Z"
"137","A","NDyPHAPp-WiyntvlAAAU","yeah I think so, you wanna add anything to it?",353.593,1534287515706,1,"VbOZBl2s49Sa25e2","2018-08-14T23:23:24.957Z","2018-08-14T23:23:24.957Z"
"138","A","NDyPHAPp-WiyntvlAAAU","could also say that it's not just a pen but also an accessory like a watch or ring. It's something that you want to show of to people and it's an expression of your personality. ",239.031,1534287515706,0,"ViLVpGviELMPW3i4","2018-08-14T23:11:25.686Z","2018-08-14T23:11:25.686Z"
"139","A","NDyPHAPp-WiyntvlAAAU","mighty*",130.649,1534287515706,1,"VlmGNDuXpHjDsaVD","2018-08-14T23:19:42.013Z","2018-08-14T23:19:42.013Z"
"140","A","wIjG-SwuIKJiLA4UAAAq","Oooh I like that _rd538HxdAqf-w0BAAAl ",343.516,1534287515706,0,"VuEazUnEi1cVgpev","2018-08-14T23:13:10.171Z","2018-08-14T23:13:10.171Z"
